country,region,lat,lon
Afghanistan,Kandahar,31.61,65.6999969
Afghanistan,Mazar-e Sharif,36.7069444,67.1122208
Afghanistan,Herat,34.34,62.1899986
Afghanistan,Jalalabad,34.42,70.4499969
Afghanistan,Konduz,36.72,68.8600006
Afghanistan,Ghazni,33.5535554,68.4268875
Afghanistan,Balkh,36.7586111,66.8961105
Afghanistan,Baghlan,36.12,68.6999969
Afghanistan,Gardez,33.59,69.2200012
Afghanistan,Khost,33.3380556,69.9202805
Afghanistan,Khanabad,36.68,69.1100006
Afghanistan,Tashqorghan,36.6952778,67.6980591
Afghanistan,Taloqan,36.7360511,69.5345078
Afghanistan,Cool urhajo,34.2654452,67.3451614
Afghanistan,Pol-e Khomri,35.9425,68.7191696
Afghanistan,Sheberghan,36.6672222,65.7536087
Afghanistan,Charikar,35.013611,69.1713867
Afghanistan,Sar-e Pol,36.2155556,65.9363861
Afghanistan,Paghman,34.5875,68.953331
Afghanistan,Samangan,36.2652778,68.0166702
Afghanistan,Nawab City,31.58,64.3600006
Afghanistan,Gereshk,31.8188889,64.5647202
Afghanistan,Farakh,32.37,62.1100006
Afghanistan,Feyzabad,37.1175,70.5797195
Afghanistan,Sindand,33.3,62.1399994
Afghanistan,Andkhvoy,36.9525,65.1236115
Afghanistan,Rostaq,37.1275,69.8305588
Afghanistan,Qaravol,37.2211111,68.7799988
Afghanistan,Nahrin,36.0652778,69.1338882
Afghanistan,Baraki Barak,33.9675,68.9486084
Afghanistan,At Khvajeh,37.0841667,69.4805527
Afghanistan,Eslam Qal`eh,34.6666667,61.0666656
Afghanistan,Karokh,34.4791667,62.5869446
Afghanistan,Mehtar Lam,34.6713889,70.2094421
Afghanistan,Kushk,33.2961111,61.9527779
Afghanistan,Shahrag,34.1083333,64.3033371
Afghanistan,Asmar,35.03,71.3499985
Afghanistan,Sang-e Charak,35.8497222,66.4369431
Afghanistan,Khash,31.5291667,62.7924995
Afghanistan,Achin,34.12,70.6999969
Afghanistan,Jabal os Saraj,35.118333,69.2377777
Afghanistan,Qarqin,37.4127778,66.047226
Afghanistan,Mirabad,30.4352778,61.8347206
Afghanistan,Zarghun Shahr,32.8472222,68.4458313
Afghanistan,Sangin,32.0733333,64.8338852
Afghanistan,Panjab,34.3875,67.0233307
Afghanistan,Uruzgan,32.92,66.6299973
Afghanistan,Pul-i-Alam,33.98,69.0299988
Afghanistan,Chiras,35.4166667,65.9833298
Afghanistan,Hokumati Azraw,34.17,69.6399994
Afghanistan,Qareh Bagh,34.9405556,61.7775002
Afghanistan,Kalat-i-Ghilzai,32.1,66.9100037
Afghanistan,Ashkasham,36.6833333,71.5333328
Afghanistan,Jorm,36.8666667,70.8344421
Afghanistan,Kuhestan,34.6538889,61.1977768
Afghanistan,Tokzar,35.9488889,66.4199982
Afghanistan,Char Burj,34.24,62.1899986
Afghanistan,Lar Gerd,35.4897222,66.6636124
Afghanistan,Rudbar,30.15,62.5999985
Afghanistan,Farkhar,36.5722222,69.8580551
Afghanistan,Zendeh Jan,34.3455556,61.7316666
Afghanistan,Anar Darreh,32.7622222,61.6525002
Afghanistan,Emam Saheb,37.1822222,68.9124985
Afghanistan,Darzab,35.9783333,65.3791656
Afghanistan,`Alaqehdari Deh-e Shu,30.4347222,63.3072205
Afghanistan,Tagow Bay,35.7016667,66.0613861
Afghanistan,Darvishan,31.1333333,64.1924973
Afghanistan,Qarchi Gak,37.0355556,66.788887
Afghanistan,Dasht-e Archi,37.1333333,69.1666641
Afghanistan,Qal`eh Shahr,35.5483333,65.5677795
Afghanistan,Zareh Sharan,33.1466667,68.7916641
Afghanistan,Tir Pol,34.5952778,61.2669449
Afghanistan,Mohmand Darrah,34.24,70.8700027
Afghanistan,Yengi Qal`eh,37.4672222,69.609169
Afghanistan,Tagao,34.85,69.6399994
Afghanistan,Khandud,36.9488889,72.3169479
Afghanistan,Mir Bachcheh Kowt,34.7488889,69.1191635
Afghanistan,Dorufchah,36.4397222,70.0838852
Afghanistan,Dahaneh-ye Ghowri,35.9075,68.4938889
Afghanistan,Lab-Sar,36.0261111,66.8386078
Afghanistan,Darwazkay,35.02,71.0400009
Afghanistan,Munay,34.98,71.25
Afghanistan,Mulkanah,34.94,71.0599976
Albania,Tirana,41.3275,19.8188896
Albania,Durres,41.3230556,19.4413891
Albania,Elbasan,41.1125,20.082222
Albania,Vlore,40.4666667,19.4897213
Albania,Shkoder,42.0682829,19.5125771
Albania,Fier-Cifci,40.7166667,19.5666676
Albania,Korce,40.6186111,20.7808342
Albania,Berat,40.7058333,19.9522228
Albania,Lushnje,40.9419444,19.7049999
Albania,Kavaje,41.1855556,19.5569439
Albania,Lac,41.6355556,19.7130547
Albania,Gjirokaster,40.0758333,20.1388893
Albania,Patos Fshat,40.6427778,19.6508331
Albania,Kruje,41.5091667,19.792778
Albania,Lezhe,41.7836111,19.6436119
Albania,Kucove,40.8002778,19.916666
